Player,year,grupos,x,y
E. Tapsoba,22,2,-1.5861177330639844,-5.9504867968786295
D. Kamada,22,3,0.80383665409794,2.2450966846285563
M. Akanji,22,2,-0.9452156230034042,-6.044991487221648
M. Koné,22,1,-0.6447408172528568,-1.3826698923813865
P. Schick,22,5,-1.0396878434620644,6.056334663593528
M. Simakan,22,2,-1.6913217566512166,-5.168566786906577
J. Lindstrøm,22,3,1.2967696957461867,4.2345427607198225
K. Laimer,22,4,0.809299061785962,1.07861537332506
P. Hincapié,22,2,-2.449167085747451,-4.603908292327819
F. Kostić,22,3,3.892571995120655,2.4584997886890987
André Silva,22,5,-0.36980671334792437,5.470709543115724
X. Schlager,22,1,-0.7116783579388193,-0.4638966023687273
D. Sow,22,1,-0.42513385972411366,-2.078900688160511
G. Rutter,22,5,-0.35919742534744925,4.556429528019804
M. Lacroix,22,2,-1.9895111445440343,-5.3755686405427845
N. Mukiele,22,4,2.655943246622126,-0.30453121864224225
R. Bensebaini,22,1,-0.9214372501184337,-2.8021651453505174
O. Kossounou,22,2,-2.6090774956374245,-4.431284442351204
M. Sabitzer,22,1,1.1993518667503809,-2.3794405391044133
P. Lienhart,22,2,-2.7270645039842245,-5.7308159128659195
Raphaël Guerreiro,22,1,1.289099082516548,-2.927192918608467
M. Ginter,22,2,-0.738443814054374,-5.385165731133884
N. Elvedi,22,2,-3.366461078444358,-5.325364350437499
B. Embolo,22,5,-1.026378910011418,4.519702843982367
D. Zakaria,22,1,-0.6439755472724835,-1.4058369140359448
T. Awoniyi,22,5,-1.2750710152812061,5.950285468117735
C. Baumgartner,22,3,-0.48279288230391726,2.1175863287460586
J. Tah,22,2,-2.412355267564596,-5.730525338523282
A. Bella-Kotchap,22,2,-2.84629465035666,-5.031280848926958
T. Adams,22,1,0.25499720800125747,-2.3505537743602485
D. Raum,22,4,4.112526248148961,1.6256092961274675
S. Kalajdžić,22,5,-2.169676239460219,6.363383154069255
M. Niakhaté,22,2,-1.618332584722689,-4.217810436773526
T. Müller,22,3,2.4141404457568774,3.04242766754154
M. Dahoud,22,1,1.4534433892328407,-2.4776399404217355
M. Arnold,22,1,0.20060282287279307,-3.252743747976667
A. Haidara,22,1,-0.5633105973241317,-2.615204870683033
S. Özcan,22,1,-0.862824257471018,-1.958587478916292
R. Borré,22,5,-1.3135947004502841,4.743433435095195
D. Malen,22,3,1.5245756844712188,4.693338216500187
B. Henrichs,22,4,2.2063529035362204,0.399725249261951
Tuta,22,2,-1.1589170418857395,-4.519142262808218
E. Palacios,22,1,0.44819249673981687,-2.8314005212512594
A. Stach,22,1,-0.1336887889855174,0.5337078970200853
K. Mavropanos,22,2,-1.3679695012632647,-4.999821832065714
S. Becker,22,3,3.6292325853235097,3.084927332529029
A. Adli,22,3,1.4487661112980423,3.8387164199282986
F. Neuhaus,22,1,0.6546547297252208,-2.6460227607169062
B. Sosa,22,4,4.0770039495898445,1.4306818120990206
E. Can,22,1,0.6055765857847675,-3.2527225496327934
W. Weghorst,22,5,-1.2568062284822132,5.883712886729479
J. Wind,22,5,-1.93600283478875,6.07933634609223
Angeliño,22,4,4.1077503760095535,1.3432957843837174
L. Nmecha,22,5,-1.0889483475430617,4.971013899239406
R. Baku,22,4,3.1734662951269916,0.9687358860407695
E. Skhiri,22,1,-0.9390382621798582,-1.9491574288228157
J. Hofmann,22,3,1.2955831088169294,2.533836123496228
O. Mangala,22,3,0.12977302757793324,1.1755376014631167
V. Grifo,22,3,2.141000556846058,2.276726100274448
D. Lukébakio,22,3,1.0868755504260141,3.9286723314415677
J. Burkardt,22,5,-0.32550980121238293,5.361675523047336
P. Wimmer,22,3,1.1396850807519474,3.2478204726274806
E. Demirović,22,5,-1.9635855416835124,4.968595164074195
J. Scally,22,4,1.5856582730764188,0.41184883072610473
L. Klostermann,22,1,0.22721315766994352,-1.4104462444946606
L. Tousart,22,1,-1.7495390877579249,-1.420447453862185
R. Andrich,22,1,-0.922943434640397,-2.26916231833354
Y. Poulsen,22,5,-1.1045061764687025,4.5921618930501955
W. Orban,22,2,-2.2054943874449577,-6.171453068969612
C. Günter,22,4,2.9902367136887507,0.2004516368041901
D. Ljubičić,22,3,0.6725747930173538,1.8055820819871613
A. Knauff,22,3,1.5698183145253504,3.529442417669959
D. Samassékou,22,1,-2.020627616123956,-1.8250128095089653
C. Richards,22,2,-2.3723332090476164,-5.34945539900004
