ID,Player,Team,Minutes played,league_id
1349,K. Dewsbury-Hall,Leicester City,2407,39
1350,Y. Bissouma,Tottenham Hotspur,920,39
1351,B. Kamara,Aston Villa,1723,39
1352,C. Eriksen,Manchester United,1806,39
1353,S. Longstaff,Newcastle United,2684,39
1354,T. Malacia,Manchester United,1278,39
1355,A. Wan-Bissaka,Manchester United,1174,39
1356,W. McKennie,Leeds United,1307,39
1357,T. Adams,Leeds United,2365,39
1358,B. Soumaré,Leicester City,1399,39
1359,P. Struijk,Leeds United,2271,39
1360,B. Davies,Tottenham Hotspur,2231,39
1361,Fred,Manchester United,1293,39
1362,Thiago Alcântara,Liverpool,1371,39
1363,T. Kehrer,West Ham United,2179,39
1364,L. Dendoncker,Aston Villa,1029,39
1365,V. Janelt,Brentford,2130,39
1366,J. Lerma,Bournemouth,3255,39
1367,M. Damsgaard,Brentford,914,39
1368,K. Walker,Manchester City,1737,39
1369,Marc Roca,Leeds United,2498,39
1370,O. Skipp,Tottenham Hotspur,1376,39
1371,C. Nørgaard,Brentford,1919,39
1372,J. Lingard,Nottingham Forest,1005,39
1373,O. Mangala,Nottingham Forest,1310,39
1374,J. Firpo,Leeds United,1358,39
1375,D. Burn,Newcastle United,3094,39
1376,L. Cook,Bournemouth,1803,39
1377,J. Henderson,Liverpool,2069,39
1378,R. Freuler,Nottingham Forest,2328,39
1379,J. Veltman,Brighton,2226,39
1380,M. Lemina,Wolverhampton Wanderers,1218,39
1381,I. Diallo,Southampton,920,39
1382,R. Yates,Nottingham Forest,1642,39
1383,I. Gueye,Everton,2436,39
1384,J. Schlupp,Crystal Palace,2701,39
1385,J. Rothwell,Bournemouth,1018,39
1386,C. Kouyaté,Nottingham Forest,904,39
1387,M. Roerslev,Brentford,1234,39
1388,J. Ward,Crystal Palace,2177,39
1389,João Moutinho,Wolverhampton Wanderers,1944,39
1390,E. Fernández,Chelsea,1482,94
1391,Otávio,Porto,2469,94
1392,M. Ugarte,Sporting CP,2540,94
1393,Florentino Luís,Benfica,2298,94
1394,F. Aursnes,Benfica,2354,94
1395,Ali Al Musrati,Sporting Braga,2510,94
1396,H. Morita,Sporting CP,2132,94
1397,M. Uribe,Porto,2697,94
1398,M. Grujić,Porto,1252,94
1399,Matheus Reis,Sporting CP,2492,94
1400,U. Račić,Sporting Braga,1249,94
1401,Chiquinho,Benfica,1515,94
1402,André Horta,Sporting Braga,2200,94
1403,R. Cannon,Boavista,2551,94
1404,Gustavo Assunção,Famalicão,1095,94
1405,S. Colombatto,Famalicão,2838,94
1406,Z. Youssouf,Famalicão,2305,94
1407,João Carvalho,Estoril,2477,94
1408,G. Makouta,Boavista,3008,94
1409,Guga,Rio Ave,3163,94
1410,K. Misao,Santa Clara,1172,94
1411,Bruno Jordão,Santa Clara,906,94
1412,Vitor Carvalho,Gil Vicente,2950,94
1413,Tiago Silva,Vitória Guimarães,2254,94
1414,S. Pérez,Boavista,2630,94
1415,L. Rosier,Estoril,1231,94
1416,Victor Bobsin,Santa Clara,1788,94
1417,Dani Silva,Vitória Guimarães,1826,94
1418,Miguel Baeza,Rio Ave,1188,94
1419,André André,Vitória Guimarães,1482,94
1420,G. Aburjania,Gil Vicente,1797,94
1421,A. Méndez,Vizela,1604,94
1422,Raphael Guzzo,Vizela,2576,94
1423,Francisco Geraldes,Estoril,1996,94
1424,Rui Pires,Paços de Ferreira,2611,94
1425,Afonso Taira,Casa Pia AC,2232,94
1426,I. Camará,Boavista,1150,94
1427,B. Mukendi,Casa Pia AC,1005,94
1428,João Gamboa,Estoril,1120,94
1429,Oriol Busquets,Arouca,1303,94
1430,Paulo Estrela,Portimonense,1648,94
1431,I. Soro,Arouca,1611,94
1432,S. Beltrame,Marítimo,1172,94
1433,Diogo Mendes,Marítimo,1369,94
1434,Val,Marítimo,1327,94
1435,M. Diaby,Portimonense,1557,94
1436,Ricardo Guima,Chaves,2176,94
1437,A. Samaris,Rio Ave,1518,94
1438,João Afonso,Marítimo,1622,94
1439,Maurício,Portimonense,1078,94
1440,David Simão,Arouca,2765,94
1441,Ângelo Neto,Casa Pia AC,1659,94
1442,Claudemir,Vizela,1484,94
1443,Luiz Carlos,Paços de Ferreira,1223,94
1576,S. Milinković-Savić,Lazio,2864,135
1577,S. Tonali,Milan,2590,135
1578,I. Bennacer,Milan,2179,135
1579,S. Lobotka,Napoli,2930,135
1580,H. Çalhanoğlu,Internazionale,2371,135
1581,M. Locatelli,Juventus,2357,135
1582,T. Koopmeiners,Atalanta,2682,135
1583,M. Brozović,Internazionale,1601,135
1584,S. Amrabat,Fiorentina,2040,135
1585,B. Cristante,Roma,2968,135
1586,Éderson,Atalanta,2104,135
1587,M. López,Sassuolo,2081,135
1588,S. Ricci,Torino,1847,135
1589,I. Ilić,Torino,1810,135
1590,M. Pessina,Monza,2759,135
1591,S. Lukić,Fulham,1297,135
1592,L. Paredes,Juventus,909,135
1593,M. Hjulmand,Lecce,2902,135
1594,H. Winks,Sampdoria,1467,135
1595,M. de Roon,Atalanta,2806,135
1596,N. Rovella,Monza,1641,135
1597,R. Krunić,Milan,1543,135
1598,R. Mandragora,Fiorentina,1893,135
1599,J. Schouten,Bologna,2360,135
1600,Matheus Henrique,Sassuolo,1725,135
1601,R. Marin,Empoli,2558,135
1602,A. Tamèze,Hellas Verona,2831,135
1603,S. Sensi,Monza,1594,135
1604,A. Marušić,Lazio,2952,135
1605,Marlon,Monza,1482,135
1606,D. Cataldi,Lazio,2009,135
1607,Walace,Udinese,2999,135
1608,N. Moro,Bologna,1147,135
1609,A. Duncan,Fiorentina,920,135
1610,M. Vecino,Lazio,1580,135
1611,Y. Maleh,Lecce,1012,135
1612,L. Coulibaly,Salernitana,2676,135
1613,N. Matić,Roma,1972,135
1614,M. Darmian,Internazionale,2051,135
1615,O. Duda,Hellas Verona,1062,135
1616,S. Meïté,Cremonese,2155,135
1617,C. Pickel,Cremonese,2369,135
1618,K. Linetty,Torino,1979,135
1619,T. Vilhena,Salernitana,2143,135
1620,L. Henderson,Empoli,901,135
1621,F. Ceccherini,Hellas Verona,1396,135
1622,A. Sabiri,Sampdoria,1176,135
1623,Ronaldo Vieira,Torino,924,135
1624,A. Blin,Lecce,2093,135
1625,José Machin,Monza,1211,135
1626,J. Akpa Akpro,Empoli,1142,135
1627,G. Kastanos,Salernitana,1073,135
1628,M. Bourabia,Spezia,2671,135
1629,G. Medel,Bologna,1488,135
1630,A. Ekdal,Spezia,1628,135
1631,T. Rincón,Sampdoria,2333,135
1632,M. Castagnetti,Cremonese,1340,135
1633,Joan Gonzàlez,Lecce,2245,135
1751,J. Gvardiol,RB Leipzig,2208,78
1752,M. de Ligt,Bayern München,2281,78
1753,D. Upamecano,Bayern München,2384,78
1754,N. Schlotterbeck,Borussia Dortmund,2408,78
1755,N. Süle,Borussia Dortmund,1986,78
1756,E. N'Dicka,Eintracht Frankfurt,2601,78
1757,E. Tapsoba,Bayer Leverkusen,2796,78
1758,P. Hincapié,Bayer Leverkusen,2405,78
1759,O. Kossounou,Bayer Leverkusen,1641,78
1760,J. Tah,Bayer Leverkusen,2394,78
1761,M. Lacroix,Wolfsburg,1757,78
1762,N. Elvedi,Borussia M'gladbach,2769,78
1763,M. Ginter,Freiburg,2974,78
1764,P. Lienhart,Freiburg,2484,78
1765,M. van de Ven,Wolfsburg,2902,78
1766,Tuta,Eintracht Frankfurt,2625,78
1767,K. Mavropanos,Stuttgart,2357,78
1768,Diogo Leite,Union Berlin,2172,78
1769,K. Itakura,Borussia M'gladbach,1902,78
1770,D. Doekhi,Union Berlin,2095,78
1771,W. Orban,RB Leipzig,2862,78
1772,O. Kabak,Hoffenheim,2314,78
1773,F. Uduokhai,Augsburg,1439,78
1774,K. Jakić,Eintracht Frankfurt,1586,78
1775,S. Nsoki,Hoffenheim,1334,78
1776,S. Bornauw,Wolfsburg,1784,78
1777,T. Hübers,Köln,2456,78
1778,H. Ito,Stuttgart,2485,78
1779,P. Jaeckel,Union Berlin,1199,78
1780,M. Friedl,Werder Bremen,2515,78
1781,M. Hummels,Borussia Dortmund,1922,78
1782,A. Pieper,Werder Bremen,2125,78
1783,M. Jenz,Schalke 04,929,78
1784,N. Stark,Werder Bremen,1946,78
1785,M. Veljković,Werder Bremen,2177,78
1786,M. Friedrich,Borussia M'gladbach,1173,78
1787,E. Mašović,Bochum,2070,78
1788,R. Knoche,Union Berlin,2881,78
1789,L. Kilian,Köln,1196,78
1790,M. Kempf,Hertha BSC,2725,78
1791,A. Rogel,Hertha BSC,1369,78
1792,W. Anton,Stuttgart,2879,78
1793,K. Akpoguma,Hoffenheim,1937,78
1794,K. Vogt,Hoffenheim,1908,78
1795,A. Hanche-Olsen,Mainz 05,1445,78
1796,I. Ordets,Bochum,2340,78
1797,D. Zagadou,Stuttgart,1206,78
1798,J. Gouweleeuw,Augsburg,2726,78
1799,M. Bauer,Augsburg,1825,78
1800,C. Gruezo,SJ Earthquakes,1038,78
1801,Edimilson Fernandes,Mainz 05,2325,78
1802,J. Brooks,Hoffenheim,1172,78
1803,J. Guilavogui,Wolfsburg,1009,78
1804,S. Bell,Mainz 05,2318,78
1805,A. Hack,Mainz 05,1223,78
1806,J. Chabot,Köln,1641,78
1807,F. Uremović,Hertha BSC,1833,78
1808,M. Yoshida,Schalke 04,2719,78
1809,H. Matriciani,Schalke 04,1853,78
1810,M. Hasebe,Eintracht Frankfurt,1312,78
1921,J. Timber,Ajax,2991,88
1922,E. Álvarez,Ajax,2520,88
